"title","location","price_cuisine","price","cuisine","michelin_stars","distinction"
"Prairial","Lyon, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Le Jardin des Plumes","Giverny, France","€€€€ · Creative","€€€€","Creative",1,"1 Star"
"L'Oustalet","Gigondas, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"La Petite Maison de Cucuron","Cucuron, France","€€€ · Classic Cuisine","€€€","Classic Cuisine",1,"1 Star"
"Le Pourquoi Pas","Dinard, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Le Figuier de Saint-Esprit","Antibes, France","€€€€ · Provençal","€€€€","Provençal",1,"1 Star"
"La Closerie","Ansouis, France","€€€ · Traditional Cuisine","€€€","Traditional Cuisine",1,"1 Star"
"Mickaël Féval","Aix-en-Provence, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"René' Sens","La Cadière-d'Azur, France","€€€ · Traditional Cuisine","€€€","Traditional Cuisine",1,"1 Star"
"Il Cortile","Mulhouse, France","€€€ · Mediterranean Cuisine","€€€","Mediterranean Cuisine",1,"1 Star"
"En Pleine Nature","Quint-Fonsegrives, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Côté Jardin","Gien, France","€€€ · Creative","€€€","Creative",1,"1 Star"
"La Gouesnière - Maison Tirel-Guérin","Saint-Méloir-des-Ondes, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Les Ducs de Lorraine","Epinal, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"La Palmeraie - Château de Valmer","La Croix-Valmer, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"Louroc - Hôtel du Cap-Eden-Roc","Antibes, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"Le Relais des Moines","Les Arcs, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Le Belvédère","Bozouls, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"L'Aparté","Montrabé, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
